name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
San Francisco Weekly,San Francisco,California,https://www.sfweekly.com/,https://www.sfweekly.com/news-sitemap.xml,,,,,,,,,,,
"ABC7, San Francisco",San Francisco,California,https://abc7news.com/,https://abc7news.com/sitemap/news.xml,,,,,,,,,,,
"KRON4, San Francisco",San Francisco,California,https://kron4.com,https://www.kron4.com/news-sitemap.xml,,,,,,,,,,,
NBC Bay Area,San Francisco,California,https://www.nbcbayarea.com/,https://www.nbcbayarea.com/sitemap-news.xml?most_recent=y,,,,,,,,,,,
CBS San Francisco,San Francisco,California,https://sanfrancisco.cbslocal.com/,https://sanfrancisco.cbslocal.com/news-sitemap.xml,,,,,,,,,,,
Santa Cruz Sentinel,Santa Cruz,California,https://www.santacruzsentinel.com/,,,,https://www.santacruzsentinel.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
The North County Outlook,Marysville,Washington,https://www.northcountyoutlook.com/,https://www.northcountyoutlook.com/tncms/sitemap/news.xml,,,,,,,,,,,
Federal Way Mirror,Ferderal Way,Washington,https://www.federalwaymirror.com/,https://www.federalwaymirror.com/news-sitemap.xml,,,,,,,,,,,
Seattle Weekly,Seattle,Washington,https://www.seattleweekly.com/,https://www.seattleweekly.com/news-sitemap.xml,,,,,,,,,,,
Bainbridge Review,Bainbridge Island,Washington,https://www.bainbridgereview.com/,https://www.bainbridgereview.com/news-sitemap.xml,,,,,,,,,,,
MyEdmondsNews,Edmonds,Washington,https://myedmondsnews.com/,https://myedmondsnews.com/attachment-sitemap52.xml,,,,,,,,,,,
Renton Reporter,Renton,Washington,https://www.rentonreporter.com/,https://www.rentonreporter.com/news-sitemap.xml,,,,,,,,,,,
Auburn Reporter,Auburn,Washington,https://www.auburn-reporter.com/,https://www.auburn-reporter.com/news-sitemap.xml,,,,,,,,,,,
Mercer Island Reporter,Mercer Island,Washington,https://www.mi-reporter.com/,https://www.mi-reporter.com/news-sitemap.xml,,,,,,,,,,,
Kirkland Reporter,Kirkland,Washington,https://www.kirklandreporter.com/,https://www.kirklandreporter.com/news-sitemap.xml,,,,,,,,,,,
The Courier Herald,Seattle,Washington,https://www.courierherald.com/,https://www.courierherald.com/news-sitemap.xml,,,,,,,,,,,
Kitsap Sun,Kitsap,Washington,https://www.kitsapsun.com/,https://www.kitsapsun.com/news-sitemap.xml,,,,,,,,,,,
Kitsap Daily News,Kitsap,Washington,https://www.kitsapdailynews.com/,https://www.kitsapdailynews.com/news-sitemap.xml,,,,,,,,,,,
KUOW  Public radio,Seattle,Washington,https://www.kuow.org/,https://s3-us-west-2.amazonaws.com/kuow-core-prod/sitemaps/sitemap4.xml,,,,,,,,,,,
Q13 Fox,Seattle,Washington,https://q13fox.com/,https://q13fox.com/news-sitemap.xml,,,,,,,,,,,
The Herald Business Journal,Seattle,Washington,https://www.heraldnet.com/,,,,,,,,,,,,
The Olympian,Olympia,Washington,https://www.theolympian.com/,https://www.theolympian.com/sitemap/story/googlenews.xml,,,,,,,,,,,
"KING 5, NBC Seattle",Seattle,Washington,https://king5.com,https://www.king5.com/feeds/googlenews,,,,,,,,,,,
"KIRO 7, Seattle",Seattle,Washington,https://kiro7.com,https://www.kiro7.com/arcio/sitemap/,,,,,,,,,,,
MyNorthwest,Seattle,Washington,https://mynorthwest.com,https://mynorthwest.com/news-sitemap.xml,,,,,,,,,,,
CBS Seattle,Seattle,Washington,https://seattle.cbslocal.com,https://seattle.cbslocal.com/news-sitemap.xml,,,,,,,,,,,
